< excerpt/NN, is/VBZ, woman/NN >
< that/WDT, different/JJ, meaning/NN >
< that/WDT, different/JJ, An-mei/NNP >
< that/WDT, different/JJ, what/WP >
< that/WDT, is/VBZ, different/JJ >
< I/PRP, ask/VB, friends/NNS >
< I/PRP, ask/VB, Lindo/NNP >
< I/PRP, ask/VB, meaning/NN >
< I/PRP, ask/VB, An-mei/NNP >
< I/PRP, ask/VB, what/WP >
< I/PRP, is/VBZ, ask/VB >
< I/PRP, know/VBP, friends/NNS >
< I/PRP, know/VBP, Lindo/NNP >
< I/PRP, know/VBP, meaning/NN >
< I/PRP, know/VBP, An-mei/NNP >
< I/PRP, know/VBP, what/WP >
< I/PRP, is/VBZ, know/VBP >
< they/PRP, tell/VBP, me/PRP >
< they/PRP, is/VBZ, tell/VBP >
< line/NN, pomegranate/NN, me/PRP >
< line/NN, is/VBZ, pomegranate/NN >
< mother/NN, wishing/VBG, me/PRP >
< mother/NN, is/VBZ, wishing/VBG >
< me/PRP, fertility/NN, me/PRP >
< me/PRP, is/VBZ, fertility/NN >
< carvings/NNS, branch/NN, purity/NN >
< carvings/NNS, branch/NN, honesty/NN >
< carvings/NNS, were/VBD, branch/NN >
< mother/NN, meant/VBD, purity/NN >
< mother/NN, meant/VBD, honesty/NN >
< mother/NN, were/VBD, meant/VBD >
< people/NNS, green/JJ, oblong/NN >
< I/PRP, notice/VBP, oblong/NN >
< I/PRP, think/VBP, oblong/NN >
< I/PRP, saw/VBD, bartender/NN >
< I/PRP, saw/VBD, one/CD >
< I/PRP, fingered/VBD, mine/NN >
< I/PRP, fingered/VBD, him/PRP >
< I/PRP, fingered/VBD, yours/PRP$ >
< I/PRP, asked/VBD, mine/NN >
< I/PRP, asked/VBD, him/PRP >
< I/PRP, asked/VBD, yours/PRP$ >
< you/PRP, get/VB, mine/NN >
< you/PRP, get/VB, him/PRP >
< you/PRP, get/VB, yours/PRP$ >
< mother/NN, gave/VBD, it/PRP >
< he/PRP, said/VBD, it/PRP >
< person/NN, ask/VB, another/DT >
< person/NN, ask/VB, him/PRP >
< person/NN, ask/VB, that/WDT >
< person/NN, is/VBZ, ask/VB >
< person/NN, are/VBP, ask/VB >
< people/NNS, family/NN, another/DT >
< people/NNS, family/NN, him/PRP >
< people/NNS, family/NN, that/WDT >
< people/NNS, is/VBZ, family/NN >
< people/NNS, are/VBP, family/NN >
< which/WDT, question/NN, another/DT >
< which/WDT, question/NN, him/PRP >
< which/WDT, question/NN, that/WDT >
< which/WDT, is/VBZ, question/NN >
< which/WDT, are/VBP, question/NN >
< I/PRP, asked/VBD, another/DT >
< I/PRP, asked/VBD, him/PRP >
< I/PRP, asked/VBD, that/WDT >
< I/PRP, is/VBZ, asked/VBD >
< I/PRP, are/VBP, asked/VBD >
< I/PRP, got/VBD, it/PRP >
< She/PRP, gave/VBD, it/PRP >
< I/PRP, worth/JJ, me/PRP >
< I/PRP, worth/JJ, something/NN >
< I/PRP, 'm/VBP, worth/JJ >
< I/PRP, guess/VBP, me/PRP >
< I/PRP, guess/VBP, something/NN >
< I/PRP, 'm/VBP, guess/VBP >
< he/PRP, had/VBD, what/WP >
< he/PRP, had/VBD, idea/NN >
< pendant/NN, meant/VBD, what/WP >
< pendant/NN, meant/VBD, idea/NN >
< I/PRP, knew/VBD, what/WP >
< I/PRP, knew/VBD, idea/NN >
